pair_id,timestamp,rgb_frame_idx,thermal_file,thermal_error_ms,rgb_error_ms
pair_00000,2020-09-24 13:09:30.268,0,log000.txt,0.0,0.0
pair_00001,2020-09-24 13:09:31.268,24,log000.txt,0.0,27.15849209566279
pair_00002,2020-09-24 13:09:32.268,49,log000.txt,0.0,13.781921361978313
pair_00003,2020-09-24 13:09:33.268,74,log000.txt,0.0,0.4053506282937213
pair_00004,2020-09-24 13:09:34.268,98,log000.txt,0.0,27.563842723956625
pair_00005,2020-09-24 13:09:35.268,123,log000.txt,0.0,14.18727199027181
pair_00006,2020-09-24 13:09:36.268,148,log000.txt,0.0,0.8107012565874427
pair_00007,2020-09-24 13:09:37.268,172,log000.txt,0.0,27.969193352250343
pair_00008,2020-09-24 13:09:38.268,197,log000.txt,0.0,14.592622618565976
pair_00009,2020-09-24 13:09:39.268,222,log000.txt,0.0,1.2160518848816082
pair_00010,2020-09-24 13:09:40.268,246,log000.txt,0.0,28.37454398054362
pair_00011,2020-09-24 13:09:41.268,271,log000.txt,0.0,14.99797324686014
pair_00012,2020-09-24 13:09:42.268,296,log000.txt,0.0,1.6214025131748857
pair_00013,2020-09-24 13:09:43.268,320,log000.txt,0.0,28.779894608836894
pair_00014,2020-09-24 13:09:44.268,345,log000.txt,0.0,15.403323875153418
pair_00015,2020-09-24 13:09:45.268,370,log000.txt,0.0,2.0267531414681628
pair_00016,2020-09-24 13:09:46.268,394,log000.txt,0.0,29.18524523713195
pair_00017,2020-09-24 13:09:47.268,419,log000.txt,0.0,15.808674503446696
pair_00018,2020-09-24 13:09:48.268,444,log000.txt,0.0,2.4321037697632164
pair_00019,2020-09-24 13:09:49.268,468,log000.txt,0.0,29.59059586542523
pair_00020,2020-09-24 13:09:50.268,493,log000.txt,0.0,16.21402513174175
pair_00021,2020-09-24 13:09:51.268,518,log000.txt,0.0,2.8374543980547173
pair_00022,2020-09-24 13:09:52.268,542,log000.txt,0.0,29.99594649372028
pair_00023,2020-09-24 13:09:53.268,567,log000.txt,0.0,16.61937576003325
pair_00024,2020-09-24 13:09:54.268,592,log000.txt,0.0,3.242805026349771
pair_00025,2020-09-24 13:09:55.268,616,log000.txt,0.0,30.401297122011783
pair_00026,2020-09-24 13:09:56.268,641,log000.txt,0.0,17.024726388328304
pair_00027,2020-09-24 13:09:57.268,666,log000.txt,0.0,3.6481556546448246
pair_00028,2020-09-24 13:09:58.268,690,log000.txt,0.0,30.80664775030684
pair_00029,2020-09-24 13:09:59.268,715,log000.txt,0.0,17.430077016619805
pair_00030,2020-09-24 13:10:00.268,740,log000.txt,0.0,4.0535062829363255
pair_00031,2020-09-24 13:10:01.268,764,log000.txt,0.0,31.211998378598334
pair_00032,2020-09-24 13:10:02.268,789,log000.txt,0.0,17.83542764491486
pair_00033,2020-09-24 13:10:03.268,814,log000.txt,0.0,4.4588569112278265
pair_00034,2020-09-24 13:10:04.268,838,log000.txt,0.0,31.61734900689339
pair_00035,2020-09-24 13:10:05.268,863,log000.txt,0.0,18.240778273209912
pair_00036,2020-09-24 13:10:06.268,888,log000.txt,0.0,4.864207539526433
pair_00037,2020-09-24 13:10:07.268,912,log000.txt,0.0,32.02269963518489
pair_00038,2020-09-24 13:10:08.268,937,log000.txt,0.0,18.646128901501413
pair_00039,2020-09-24 13:10:09.268,962,log000.txt,0.0,5.269558167817934
pair_00040,2020-09-24 13:10:10.268,986,log000.txt,0.0,32.4280502634835
pair_00041,2020-09-24 13:10:11.268,1011,log000.txt,0.0,19.051479529792918
pair_00042,2020-09-24 13:10:12.268,1036,log000.txt,0.0,5.674908796109435
pair_00043,2020-09-24 13:10:13.268,1060,log000.txt,0.0,32.833400891775
pair_00044,2020-09-24 13:10:14.268,1085,log000.txt,0.0,19.45683015809152
pair_00045,2020-09-24 13:10:15.268,1110,log000.txt,0.0,6.080259424408041
pair_00046,2020-09-24 13:10:16.268,1134,log000.txt,0.0,33.2387515200665
pair_00047,2020-09-24 13:10:17.268,1159,log000.txt,0.0,19.86218078638302
pair_00048,2020-09-24 13:10:18.268,1184,log000.txt,0.0,6.485610052699542
pair_00049,2020-09-24 13:10:19.268,1208,log000.txt,0.0,33.64410214836511
pair_00050,2020-09-24 13:10:20.268,1233,log000.txt,0.0,20.26753141467452
pair_00051,2020-09-24 13:10:21.268,1258,log000.txt,0.0,6.890960680991043
pair_00052,2020-09-24 13:10:22.268,1282,log000.txt,0.0,34.04945277665661
pair_00053,2020-09-24 13:10:23.268,1307,log000.txt,0.0,20.67288204297313
pair_00054,2020-09-24 13:10:24.268,1332,log000.txt,0.0,7.296311309289649
pair_00055,2020-09-24 13:10:25.268,1356,log000.txt,0.0,34.45480340494811
pair_00056,2020-09-24 13:10:26.268,1381,log000.txt,0.0,21.07823267126463
pair_00057,2020-09-24 13:10:27.268,1406,log000.txt,0.0,7.70166193758115
pair_00058,2020-09-24 13:10:28.268,1430,log000.txt,0.0,34.86015403323961
pair_00059,2020-09-24 13:10:29.268,1455,log000.txt,0.0,21.48358329955613
pair_00060,2020-09-24 13:10:30.268,1480,log000.txt,0.0,8.107012565872651
pair_00061,2020-09-24 13:10:31.268,1504,log000.txt,0.0,35.265504661538216
pair_00062,2020-09-24 13:10:32.268,1529,log000.txt,0.0,21.888933927854737
pair_00063,2020-09-24 13:10:33.268,1554,log000.txt,0.0,8.512363194164152
pair_00064,2020-09-24 13:10:34.268,1578,log000.txt,0.0,35.67085528982972
pair_00065,2020-09-24 13:10:35.268,1603,log000.txt,0.0,22.29428455613913
pair_00066,2020-09-24 13:10:36.268,1628,log000.txt,0.0,8.917713822455653
pair_00067,2020-09-24 13:10:37.268,1652,log000.txt,0.0,36.07620591812122
pair_00068,2020-09-24 13:10:38.268,1677,log000.txt,0.0,22.69963518443774
pair_00069,2020-09-24 13:10:39.268,1702,log000.txt,0.0,9.32306445075426
pair_00070,2020-09-24 13:10:40.268,1726,log000.txt,0.0,36.481556546419824
pair_00071,2020-09-24 13:10:41.268,1751,log000.txt,0.0,23.104985812736345
pair_00072,2020-09-24 13:10:42.268,1776,log000.txt,0.0,9.728415079052866
pair_00073,2020-09-24 13:10:43.268,1800,log000.txt,0.0,36.88690717470422
pair_00074,2020-09-24 13:10:44.268,1825,log000.txt,0.0,23.51033644102074
pair_00075,2020-09-24 13:10:45.268,1850,log000.txt,0.0,10.13376570733726
pair_00076,2020-09-24 13:10:46.268,1874,log000.txt,0.0,37.292257803002826
pair_00077,2020-09-24 13:10:47.268,1899,log000.txt,0.0,23.915687069319347
pair_00078,2020-09-24 13:10:48.268,1924,log000.txt,0.0,10.539116335635867
pair_00079,2020-09-24 13:10:49.268,1948,log000.txt,0.0,37.69760843130143
pair_00080,2020-09-24 13:10:50.268,1973,log000.txt,0.0,24.321037697617957
pair_00081,2020-09-24 13:10:51.268,1998,log000.txt,0.0,10.944466963934474
pair_00082,2020-09-24 13:10:52.268,2022,log000.txt,0.0,38.10295905958583
pair_00083,2020-09-24 13:10:53.268,2047,log000.txt,0.0,24.72638832590235
pair_00084,2020-09-24 13:10:54.268,2072,log000.txt,0.0,11.34981759221887
pair_00085,2020-09-24 13:10:55.268,2096,log000.txt,0.0,38.508309687884434
pair_00086,2020-09-24 13:10:56.268,2121,log000.txt,0.0,25.131738954200955
pair_00087,2020-09-24 13:10:57.268,2146,log000.txt,0.0,11.755168220517476
pair_00088,2020-09-24 13:10:58.268,2170,log000.txt,0.0,38.91366031618304
pair_00089,2020-09-24 13:10:59.268,2195,log000.txt,0.0,25.53708958249956
pair_00090,2020-09-24 13:11:00.268,2220,log000.txt,0.0,12.160518848816082
pair_00091,2020-09-24 13:11:01.268,2244,log000.txt,0.0,39.31901094446744
pair_00092,2020-09-24 13:11:02.268,2269,log000.txt,0.0,25.94244021078396
pair_00093,2020-09-24 13:11:03.268,2294,log000.txt,0.0,12.565869477100478
pair_00094,2020-09-24 13:11:05.268,2343,log000.txt,0.0,26.347790839082563
pair_00095,2020-09-24 13:11:06.268,2368,log000.txt,0.0,12.971220105399084
pair_00096,2020-09-24 13:11:07.268,2392,log000.txt,0.0,40.12971220106465
pair_00097,2020-09-24 13:11:08.268,2417,log000.txt,0.0,26.75314146738117
pair_00098,2020-09-24 13:11:09.268,2442,log000.txt,0.0,13.37657073369769
pair_00099,2020-09-24 13:11:10.268,2467,log000.txt,0.0,0.0
pair_00100,2020-09-24 13:11:11.268,2491,log000.txt,0.0,27.158492095665565
pair_00101,2020-09-24 13:11:12.268,2516,log000.txt,0.0,13.781921361982086
pair_00102,2020-09-24 13:11:13.268,2541,log000.txt,0.0,0.4053506282986063
pair_00103,2020-09-24 13:11:14.268,2565,log000.txt,0.0,27.56384272396417
pair_00104,2020-09-24 13:11:15.268,2590,log000.txt,0.0,14.187271990280692
pair_00105,2020-09-24 13:11:16.268,2615,log000.txt,0.0,0.8107012565972127
pair_00106,2020-09-24 13:11:17.268,2639,log000.txt,0.0,27.969193352262774
pair_00107,2020-09-24 13:11:18.268,2664,log000.txt,0.0,14.592622618579298
pair_00108,2020-09-24 13:11:19.268,2689,log000.txt,0.0,1.2160518848816082
pair_00109,2020-09-24 13:11:20.268,2713,log000.txt,0.0,28.374543980547173
pair_00110,2020-09-24 13:11:21.268,2738,log000.txt,0.0,14.997973246863694
pair_00111,2020-09-24 13:11:22.268,2763,log000.txt,0.0,1.6214025131802146
pair_00112,2020-09-24 13:11:23.268,2787,log000.txt,0.0,28.77989460884578
pair_00113,2020-09-24 13:11:24.268,2812,log000.txt,0.0,15.4033238751623
pair_00114,2020-09-24 13:11:25.268,2837,log000.txt,0.0,2.026753141478821
pair_00115,2020-09-24 13:11:26.268,2861,log000.txt,0.0,29.185245237144382
pair_00116,2020-09-24 13:11:27.268,2886,log000.txt,0.0,15.808674503446696
pair_00117,2020-09-24 13:11:28.268,2911,log000.txt,0.0,2.4321037697632164
pair_00118,2020-09-24 13:11:29.268,2935,log000.txt,0.0,29.59059586542878
pair_00119,2020-09-24 13:11:30.268,2960,log000.txt,0.0,16.214025131745302
pair_00120,2020-09-24 13:11:31.268,2985,log000.txt,0.0,2.8374543980618228
pair_00121,2020-09-24 13:11:32.268,3009,log000.txt,0.0,29.995946493727388
pair_00122,2020-09-24 13:11:33.268,3034,log000.txt,0.0,16.61937576004391
pair_00123,2020-09-24 13:11:34.268,3059,log000.txt,0.0,3.242805026360429
pair_00124,2020-09-24 13:11:35.268,3083,log000.txt,0.0,30.401297122025998
pair_00125,2020-09-24 13:11:36.268,3108,log000.txt,0.0,17.024726388328304
pair_00126,2020-09-24 13:11:37.268,3133,log000.txt,0.0,3.6481556546448246
pair_00127,2020-09-24 13:11:38.268,3157,log000.txt,0.0,30.80664775031039
pair_00128,2020-09-24 13:11:39.268,3182,log000.txt,0.0,17.43007701662691
pair_00129,2020-09-24 13:11:40.268,3207,log000.txt,0.0,4.053506282957642
pair_00130,2020-09-24 13:11:41.268,3231,log000.txt,0.0,31.211998378609
pair_00131,2020-09-24 13:11:42.268,3256,log000.txt,0.0,17.835427644911306
pair_00132,2020-09-24 13:11:43.268,3281,log000.txt,0.0,4.458856911242037
pair_00133,2020-09-24 13:11:44.268,3305,log000.txt,0.0,31.61734900689339
pair_00134,2020-09-24 13:11:45.268,3330,log000.txt,0.0,18.240778273224123
pair_00135,2020-09-24 13:11:46.268,3355,log000.txt,0.0,4.864207539526433
pair_00136,2020-09-24 13:11:47.268,3379,log000.txt,0.0,32.02269963520621
pair_00137,2020-09-24 13:11:48.268,3404,log000.txt,0.0,18.64612890150852
pair_00138,2020-09-24 13:11:49.268,3429,log000.txt,0.0,5.269558167810828
pair_00139,2020-09-24 13:11:50.268,3453,log000.txt,0.0,32.428050263490604
pair_00140,2020-09-24 13:11:51.268,3478,log000.txt,0.0,19.051479529792918
pair_00141,2020-09-24 13:11:52.268,3503,log000.txt,0.0,5.6749087961236455
pair_00142,2020-09-24 13:11:53.268,3527,log000.txt,0.0,32.833400891775
pair_00143,2020-09-24 13:11:54.268,3552,log000.txt,0.0,19.45683015810573
pair_00144,2020-09-24 13:11:55.268,3577,log000.txt,0.0,6.080259424408041
pair_00145,2020-09-24 13:11:56.268,3601,log000.txt,0.0,33.23875152008782
pair_00146,2020-09-24 13:11:57.268,3626,log000.txt,0.0,19.862180786390127
pair_00147,2020-09-24 13:11:58.268,3651,log000.txt,0.0,6.4856100526924365
pair_00148,2020-09-24 13:11:59.268,3675,log000.txt,0.0,33.64410214837221
pair_00149,2020-09-24 13:12:00.268,3700,log000.txt,0.0,20.26753141467452
pair_00150,2020-09-24 13:12:01.268,3725,log000.txt,0.0,6.890960681005254
pair_00151,2020-09-24 13:12:02.268,3749,log000.txt,0.0,34.04945277665661
pair_00152,2020-09-24 13:12:03.268,3774,log000.txt,0.0,20.67288204298734
pair_00153,2020-09-24 13:12:04.268,3799,log000.txt,0.0,7.296311309289649
pair_00154,2020-09-24 13:12:05.268,3823,log000.txt,0.0,34.454803404969425
pair_00155,2020-09-24 13:12:06.268,3848,log000.txt,0.0,21.07823267127173
pair_00156,2020-09-24 13:12:07.268,3873,log000.txt,0.0,7.701661937574045
pair_00157,2020-09-24 13:12:08.268,3897,log000.txt,0.0,34.86015403325382
pair_00158,2020-09-24 13:12:09.268,3922,log000.txt,0.0,21.48358329955613
pair_00159,2020-09-24 13:12:10.268,3947,log000.txt,0.0,8.107012565886862
pair_00160,2020-09-24 13:12:11.268,3971,log000.txt,0.0,35.265504661538216
pair_00161,2020-09-24 13:12:12.268,3996,log000.txt,0.0,21.888933927868948
pair_00162,2020-09-24 13:12:13.268,4021,log000.txt,0.0,8.512363194171257
pair_00163,2020-09-24 13:12:14.268,4045,log000.txt,0.0,35.67085528985103
pair_00164,2020-09-24 13:12:15.268,4070,log000.txt,0.0,22.294284556153343
pair_00165,2020-09-24 13:12:16.268,4095,log001.txt,0.0,8.917713822455653
pair_00166,2020-09-24 13:12:17.268,4119,log001.txt,0.0,36.07620591813543
pair_00167,2020-09-24 13:12:18.268,4144,log001.txt,0.0,22.69963518443774
pair_00168,2020-09-24 13:12:19.268,4169,log001.txt,0.0,9.32306445076847
pair_00169,2020-09-24 13:12:20.268,4193,log001.txt,0.0,36.481556546419824
pair_00170,2020-09-24 13:12:21.268,4218,log001.txt,0.0,23.10498581275056
pair_00171,2020-09-24 13:12:22.268,4243,log001.txt,0.0,9.728415079052866
pair_00172,2020-09-24 13:12:23.268,4267,log001.txt,0.0,36.88690717470422
pair_00173,2020-09-24 13:12:24.268,4292,log001.txt,0.0,23.51033644103495
pair_00174,2020-09-24 13:12:25.268,4317,log001.txt,0.0,10.13376570733726
pair_00175,2020-09-24 13:12:26.268,4341,log001.txt,0.0,37.29225780301704
pair_00176,2020-09-24 13:12:27.268,4366,log001.txt,0.0,23.915687069319347
pair_00177,2020-09-24 13:12:28.268,4391,log001.txt,0.0,10.539116335650078
pair_00178,2020-09-24 13:12:29.268,4415,log001.txt,0.0,37.69760843130143
pair_00179,2020-09-24 13:12:30.268,4440,log001.txt,0.0,24.321037697632164
pair_00180,2020-09-24 13:12:31.268,4465,log001.txt,0.0,10.944466963934474
pair_00181,2020-09-24 13:12:32.268,4489,log001.txt,0.0,38.10295905958583
pair_00182,2020-09-24 13:12:33.268,4514,log001.txt,0.0,24.72638832591656
pair_00183,2020-09-24 13:12:34.268,4539,log001.txt,0.0,11.34981759221887
pair_00184,2020-09-24 13:12:35.268,4563,log001.txt,0.0,38.508309687898645
pair_00185,2020-09-24 13:12:36.268,4588,log001.txt,0.0,25.131738954200955
pair_00186,2020-09-24 13:12:37.268,4613,log001.txt,0.0,11.755168220531688
pair_00187,2020-09-24 13:12:38.268,4637,log001.txt,0.0,38.91366031618304
pair_00188,2020-09-24 13:12:39.268,4662,log001.txt,0.0,25.53708958251377
pair_00189,2020-09-24 13:12:40.268,4687,log001.txt,0.0,12.160518848816082
pair_00190,2020-09-24 13:12:41.268,4711,log001.txt,0.0,39.31901094446744
pair_00191,2020-09-24 13:12:42.268,4736,log001.txt,0.0,25.942440210798168
pair_00192,2020-09-24 13:12:43.268,4761,log001.txt,0.0,12.565869477100478
pair_00193,2020-09-24 13:12:44.268,4785,log001.txt,0.0,39.72436157278025
pair_00194,2020-09-24 13:12:45.268,4810,log001.txt,0.0,26.347790839082563
pair_00195,2020-09-24 13:12:46.268,4835,log001.txt,0.0,12.971220105413297
pair_00196,2020-09-24 13:12:47.268,4859,log001.txt,0.0,40.12971220106465
pair_00197,2020-09-24 13:12:48.268,4884,log001.txt,0.0,26.75314146739538
pair_00198,2020-09-24 13:12:49.268,4909,log001.txt,0.0,13.37657073369769
pair_00199,2020-09-24 13:12:50.268,4934,log001.txt,0.0,0.0
pair_00200,2020-09-24 13:12:51.268,4958,log001.txt,0.0,27.158492095679776
pair_00201,2020-09-24 13:12:52.268,4983,log001.txt,0.0,13.781921361982086
pair_00202,2020-09-24 13:12:53.268,5008,log001.txt,0.0,0.4053506283128172
pair_00203,2020-09-24 13:12:54.268,5032,log001.txt,0.0,27.56384272396417
pair_00204,2020-09-24 13:12:55.268,5057,log001.txt,0.0,14.187271990294905
pair_00205,2020-09-24 13:12:56.268,5082,log001.txt,0.0,0.8107012565972127
pair_00206,2020-09-24 13:12:57.268,5106,log001.txt,0.0,27.96919335227699
pair_00207,2020-09-24 13:12:58.268,5131,log001.txt,0.0,14.592622618579298
pair_00208,2020-09-24 13:12:59.268,5156,log001.txt,0.0,1.2160518848816082
pair_00209,2020-09-24 13:13:00.268,5180,log001.txt,0.0,28.374543980561384
pair_00210,2020-09-24 13:13:01.268,5205,log001.txt,0.0,14.997973246863694
pair_00211,2020-09-24 13:13:02.268,5230,log001.txt,0.0,1.6214025131944254
pair_00212,2020-09-24 13:13:03.268,5254,log001.txt,0.0,28.77989460884578
pair_00213,2020-09-24 13:13:04.268,5279,log001.txt,0.0,15.403323875176511
pair_00214,2020-09-24 13:13:05.268,5304,log001.txt,0.0,2.026753141478821
pair_00215,2020-09-24 13:13:06.268,5328,log001.txt,0.0,29.1852452371586
pair_00216,2020-09-24 13:13:07.268,5353,log001.txt,0.0,15.808674503460908
pair_00217,2020-09-24 13:13:08.268,5378,log001.txt,0.0,2.4321037697632164
pair_00218,2020-09-24 13:13:09.268,5402,log001.txt,0.0,29.590595865442992
