方法,PSNR 平均,PSNR 標準差,SSIM 平均,SSIM 標準差
方法 1 (RGB GT),16.2429430524786,1.2647094806201802,0.5166061056145843,0.023815343726269412
方法 2 (自監督),40.45593922427017,0.32888500947338223,0.9753921349057861,0.002957113434001947
方法 3 (混合),13.350130272396434,0.33206269950646183,0.44475730268016556,0.011440687656204753
